pearson;similarity_type;matching;word_agg;sentence_agg;direction;power;index_weight
0.5015198106506318;spath;one_to_many;max;min;single;power2;exponential
0.501425208109727;spath;one_to_many;max;max;single;power1;prime
0.501425208109727;spath;one_to_many;max;avg;single;power1;prime
0.501425208109727;spath;one_to_many;max;min;single;power1;prime
0.4970436374980941;wupalmer;one_to_many;max;avg;single;power2;
0.49113594048446113;wupalmer;one_to_many;max;max;single;power2;linear
0.49113594048446113;wupalmer;one_to_many;max;avg;single;power2;linear
0.49113594048446113;wupalmer;one_to_many;max;min;single;power2;linear
0.4891576816628106;wupalmer;one_to_many;max;max;single;power2;prime
0.4891576816628106;wupalmer;one_to_many;max;avg;single;power2;prime
0.4891576816628106;wupalmer;one_to_many;max;min;single;power2;prime
0.48217229447910387;spath;one_to_many;max;max;single;power1;exponential
0.48217229447910387;spath;one_to_many;max;avg;single;power1;exponential
0.48217229447910387;spath;one_to_many;max;min;single;power1;exponential
0.4737817827034235;wupalmer;one_to_many;max;max;symmetric;power1;linear
0.4737817827034235;wupalmer;one_to_many;max;avg;symmetric;power1;linear
0.4737817827034235;wupalmer;one_to_many;max;min;symmetric;power1;linear
0.4719682306379166;wupalmer;one_to_many;max;max;symmetric;power1;prime
0.4719682306379166;wupalmer;one_to_many;max;avg;symmetric;power1;prime
0.4719682306379166;wupalmer;one_to_many;max;min;symmetric;power1;prime
0.47095373875723645;wupalmer;one_to_many;max;max;single;power2;exponential
0.47095373875723645;wupalmer;one_to_many;max;avg;single;power2;exponential
0.47095373875723645;wupalmer;one_to_many;max;min;single;power2;exponential
0.46651174275287177;wupalmer;one_to_many;max;max;symmetric;power1;exponential
0.46651174275287177;wupalmer;one_to_many;max;avg;symmetric;power1;exponential
0.46651174275287177;wupalmer;one_to_many;max;min;symmetric;power1;exponential
0.4637223891496127;wupalmer;one_to_many;max;avg;symmetric;power1;
0.42878148390210247;spath;one_to_many;max;max;single;power7;
0.42878148390210247;spath;one_to_many;max;max;symmetric;power7;
0.42878148390210247;spath;all_to_all;;max;single;power7;
0.42878148390210247;spath;all_to_all;;max;single;power7;linear
0.42878148390210247;spath;all_to_all;;max;single;power7;prime
0.42878148390210247;spath;all_to_all;;max;single;power7;exponential
0.42878148390210247;spath;all_to_all;;max;symmetric;power7;
0.42878148390210247;spath;all_to_all;;max;symmetric;power7;linear
0.42878148390210247;spath;all_to_all;;max;symmetric;power7;prime
0.42878148390210247;spath;all_to_all;;max;symmetric;power7;exponential
0.42650080181512995;wupalmer;one_to_many;max;max;single;power7;
0.42650080181512995;wupalmer;one_to_many;max;max;symmetric;power7;
0.42650080181512995;wupalmer;all_to_all;;max;single;power7;
0.42650080181512995;wupalmer;all_to_all;;max;single;power7;linear
0.42650080181512995;wupalmer;all_to_all;;max;single;power7;prime
0.42650080181512995;wupalmer;all_to_all;;max;single;power7;exponential
0.42650080181512995;wupalmer;all_to_all;;max;symmetric;power7;
0.42650080181512995;wupalmer;all_to_all;;max;symmetric;power7;linear
0.42650080181512995;wupalmer;all_to_all;;max;symmetric;power7;prime
0.42650080181512995;wupalmer;all_to_all;;max;symmetric;power7;exponential
0.42642639127226967;wupalmer;one_to_many;max;max;single;power1;linear
0.42642639127226967;wupalmer;one_to_many;max;avg;single;power1;linear
0.42642639127226967;wupalmer;one_to_many;max;min;single;power1;linear
0.4243234428620479;wupalmer;one_to_many;max;max;single;power1;prime
0.4243234428620479;wupalmer;one_to_many;max;avg;single;power1;prime
0.4243234428620479;wupalmer;one_to_many;max;min;single;power1;prime
0.42333210349333106;wupalmer;one_to_many;max;avg;single;power1;
0.42173475131623994;spath;one_to_many;max;max;single;power2;
0.42173475131623994;spath;one_to_many;max;max;symmetric;power2;
0.42173475131623994;spath;all_to_all;;max;single;power2;
0.42173475131623994;spath;all_to_all;;max;single;power2;linear
0.42173475131623994;spath;all_to_all;;max;single;power2;prime
0.42173475131623994;spath;all_to_all;;max;single;power2;exponential
0.42173475131623994;spath;all_to_all;;max;symmetric;power2;
0.42173475131623994;spath;all_to_all;;max;symmetric;power2;linear
0.42173475131623994;spath;all_to_all;;max;symmetric;power2;prime
0.42173475131623994;spath;all_to_all;;max;symmetric;power2;exponential
0.41885321286015587;spath;one_to_many;avg;max;symmetric;power7;linear
0.41885321286015587;spath;one_to_many;avg;avg;symmetric;power7;linear
0.41885321286015587;spath;one_to_many;avg;min;symmetric;power7;linear
0.41720784655861237;wupalmer;one_to_many;avg;max;symmetric;power7;linear
0.41720784655861237;wupalmer;one_to_many;avg;avg;symmetric;power7;linear
0.41720784655861237;wupalmer;one_to_many;avg;min;symmetric;power7;linear
0.4162757133018046;spath;one_to_many;avg;max;symmetric;power7;prime
0.4162757133018046;spath;one_to_many;avg;avg;symmetric;power7;prime
0.4162757133018046;spath;one_to_many;avg;min;symmetric;power7;prime
0.41520464385811207;spath;one_to_many;avg;max;symmetric;power7;exponential
0.41520464385811207;spath;one_to_many;avg;avg;symmetric;power7;exponential
0.41520464385811207;spath;one_to_many;avg;min;symmetric;power7;exponential
0.41449257175627896;wupalmer;one_to_many;avg;max;symmetric;power7;prime
0.41449257175627896;wupalmer;one_to_many;avg;avg;symmetric;power7;prime
0.41449257175627896;wupalmer;one_to_many;avg;min;symmetric;power7;prime
0.41411091789708887;wupalmer;one_to_many;max;max;single;power1;exponential
0.41411091789708887;wupalmer;one_to_many;max;avg;single;power1;exponential
0.41411091789708887;wupalmer;one_to_many;max;min;single;power1;exponential
0.41393810253254903;wupalmer;one_to_many;avg;max;symmetric;power7;exponential
0.41393810253254903;wupalmer;one_to_many;avg;avg;symmetric;power7;exponential
0.41393810253254903;wupalmer;one_to_many;avg;min;symmetric;power7;exponential
0.41144500869761563;spath;one_to_many;avg;max;single;power7;linear
0.41144500869761563;spath;one_to_many;avg;avg;single;power7;linear
0.41144500869761563;spath;one_to_many;avg;min;single;power7;linear
0.410216166611973;spath;one_to_many;avg;max;symmetric;power2;linear
0.410216166611973;spath;one_to_many;avg;avg;symmetric;power2;linear
0.410216166611973;spath;one_to_many;avg;min;symmetric;power2;linear
0.409984226676191;spath;one_to_many;avg;max;single;power7;prime
0.409984226676191;spath;one_to_many;avg;avg;single;power7;prime
0.409984226676191;spath;one_to_many;avg;min;single;power7;prime
